text_encoding&text_dim&outcome_acc&cycle_time_mae&outcome_acc&cycle_time_mae&outcome_acc&cycle_time_mae
-&0&     0.5836&     1.7144&     0.5083&     0.3158&     0.6043&    91.6329
BoW&50&     0.6762&     1.4150&     0.5095&     0.3144&     0.6136&    94.8308
BoW&100&     0.6687&     1.4203&     0.5011&     0.3136&     0.6190&    97.2484
BoW&500&     0.6757&     1.4146&     0.4984&     0.3090&     0.6198&   100.8792
BoNG&50&     0.6632&     1.4495&     0.5115&     0.2995&     0.6149&    95.8228
BoNG&100&     0.6746&     1.4237&     0.5040&     0.3105&     0.6151&    91.5891
BoNG&500&     0.6694&     1.4235&     0.4968&     0.3068&     0.6081&    96.1264
PV&10&     0.6253&     1.5803&     0.5123&     0.3173&     0.6050&    92.6440
PV&20&     0.6644&     1.4951&     0.5106&     0.3141&     0.6057&    92.7924
PV&100&     0.6678&     1.4577&     0.5083&     0.3167&     0.6103&    93.0984
LDA&10&     0.6684&     1.4541&     0.5099&     0.3225&     0.6065&    92.6729
LDA&20&     0.6750&     1.4132&     0.5165&     0.3129&     0.6057&   101.0274
LDA&100&     0.6744&     1.4183&     0.5114&     0.3091&     0.6125&    91.1070
